links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-bordeaux-live/477411,2021-02-21 15:00:00,Nîmes,0,2,Nîmes,Bordeaux,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-lille-live/477407,2021-02-21 17:05:00,Lorient,4,1,Lorient,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-monaco-live/477412,2021-02-21 21:00:00,Paris,2,0,Paris-SG,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-nice-live/477424,2021-02-26 21:00:00,Rennes,2,1,Rennes,Nice,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-metz-live/477416,2021-02-27 13:00:00,Bordeaux,2,1,Bordeaux,Metz,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-psg-live/477417,2021-02-27 17:00:00,Dijon,4,0,Dijon,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-brest-live/477421,2021-02-28 13:00:00,Monaco,0,2,Monaco,Brest,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-lens-live/477415,2021-02-28 15:00:00,Angers,2,2,Angers,Lens,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-montpellier-live/477423,2021-02-28 15:00:00,Reims,0,0,Reims,Montpellier,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-asse-live/477419,2021-02-28 15:00:00,Lorient,1,2,Lorient,Saint-Étienne,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-nantes-live/477422,2021-02-28 15:00:00,Nîmes,1,1,Nîmes,Nantes,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-strasbourg-live/477418,2021-02-28 17:05:00,Lille,1,1,Lille,Strasbourg,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-ol-live/477420,2021-02-28 21:00:00,Marseille,1,1,Marseille,Lyon,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-rennes-live/477428,2021-03-03 19:00:00,Lyon,0,1,Lyon,Rennes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-angers-live/477429,2021-03-03 19:00:00,Metz,1,0,Metz,Angers,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-lens-live/477433,2021-03-03 19:00:00,Saint-Étienne,3,2,Saint-Étienne,Lens,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-nimes-live/477432,2021-03-03 19:00:00,Nice,1,2,Nice,Nîmes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-dijon-live/477426,2021-03-03 19:00:00,Brest,1,3,Brest,Dijon,domicile
